seed,policy,premium_gap,rearrangement_speed,capital_return,feedback,name,public_access,public_quality,education,care,capital_dividend,worker_ownership,equalizing_design,trust,initial_gini,initial_wolfson,initial_atkinson_e1,initial_ede_e1,initial_middle_share,initial_bottom20_income,initial_top20_income,initial_employment,initial_vulnerable_employment,initial_skill_gap,initial_capital_top10,initial_output,initial_growth_q1,initial_growth_q2,initial_growth_q3,initial_growth_q4,initial_growth_q5,final_gini,final_wolfson,final_atkinson_e1,final_ede_e1,final_middle_share,final_bottom20_income,final_top20_income,final_employment,final_vulnerable_employment,final_skill_gap,final_capital_top10,final_output,final_growth_q1,final_growth_q2,final_growth_q3,final_growth_q4,final_growth_q5,delta_gini,delta_wolfson,delta_atkinson_e1,delta_ede_e1,delta_middle_share,delta_bottom20_income,delta_top20_income,delta_employment,delta_vulnerable_employment,delta_skill_gap,delta_capital_top10,delta_output,delta_growth_q1,delta_growth_q2,delta_growth_q3,delta_growth_q4,delta_growth_q5,fiscal_cost,delta_net_output,delta_net_ede_e1,budget_error
1,공공AI 종합안,0.45,0.0136,0.065,0.18,공공AI 종합안,0.98,0.9,0.065,0.075,0.22,0.08,0.35,0.92,0.25848883207260165,0.2361949956047151,0.10737336969635713,1.0121689377809915,0.366875,0.701133460544981,1.910473849319672,0.9410900715202536,0.888189934083518,0.6913694355995801,0.24833936606037216,1.13392195955064,0.0,0.0,0.0,0.0,0.0,0.3789359149583128,0.3715688940536083,0.22220229654442758,0.884522298368564,0.231875,0.5650171617289236,2.647684964085661,0.9732613513259257,0.9492504888748293,0.19767501890433115,0.2549779510131664,1.1372138210730622,-0.28272338007547443,-0.2158382319635983,-0.1866667549583741,-0.07303970071946222,0.08425283241783585,0.12044708288571115,0.13537389844889322,0.11482892684807045,-0.1276466394124275,-0.135,-0.13611629881605747,0.737211114765989,0.03217127980567214,0.06106055479131134,-0.49369441669524894,0.006638584952794235,0.0032918615224222236,-0.28272338007547443,-0.2158382319635983,-0.1866667549583741,-0.07303970071946222,0.08425283241783585,0.06642450000000001,-0.06313263847757779,-0.19407113941242748,0.0
1,공공AI 실패,0.45,0.0136,0.065,0.18,공공AI 실패,0.9,0.42,0.018,0.025,0.0,0.0,0.04,0.38,0.25848883207260165,0.2361949956047151,0.10737336969635713,1.0121689377809915,0.366875,0.701133460544981,1.910473849319672,0.9410900715202536,0.888189934083518,0.6913694355995801,0.24833936606037216,1.13392195955064,0.0,0.0,0.0,0.0,0.0,0.41134583702979144,0.39063275266572844,0.25515026989817036,0.7612014986909325,0.2425,0.46038573563358687,2.655863960880445,0.9495123581608175,0.9042301214940787,0.5066451023757915,0.2680289627092422,1.0219531107125022,-0.4996229502857917,-0.39549770828819125,-0.34377103816736876,-0.19984242991118148,0.013970795610085471,0.1528570049571898,0.15443775706101334,0.14777690020181322,-0.25096743909005903,-0.12437500000000001,-0.24074772491139418,0.7453901115607731,0.00842228664056388,0.01604018741056068,-0.18472433322378856,0.019689596648870045,-0.11196884883813785,-0.4996229502857917,-0.39549770828819125,-0.34377103816736876,-0.19984242991118148,0.013970795610085471,0.015324899999999999,-0.12729374883813785,-0.266292339090059,0.0
2,시장·고가AI,0.45,0.0136,0.065,0.18,시장·고가AI,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.65,0.260841697219223,0.2398144701281053,0.10924817666802211,1.1123291493561462,0.358125,0.5622384859445738,1.9920059068857705,0.9411126126291403,0.8879669205786259,0.7447048967082541,0.2485469500167869,1.2487531546052058,0.0,0.0,0.0,0.0,0.0,0.4212449129538144,0.42339103376578247,0.26593033397400445,0.8591566754306204,0.229375,0.3115083335452568,3.0987289680387278,0.9388161923764049,0.8861714673727777,0.7518354651477521,0.2670883577335777,1.1704020955964622,-0.4970819613935392,-0.40134171425413945,-0.296947115209761,-0.19895779847224598,0.10302793701144326,0.16040321573459138,0.18357656363767716,0.15668215730598234,-0.2531724739255259,-0.12875000000000003,-0.250730152399317,1.1067230611529573,-0.002296420252735354,-0.0017954532058481742,0.007130568439497997,0.018541407716790803,-0.0783510590087435,-0.4970819613935392,-0.40134171425413945,-0.296947115209761,-0.19895779847224598,0.10302793701144326,0.0,-0.0783510590087435,-0.2531724739255259,0.0
2,전국민 공공AI,0.45,0.0136,0.065,0.18,전국민 공공AI,0.98,0.72,0.0,0.0,0.0,0.0,0.1,0.82,0.260841697219223,0.2398144701281053,0.10924817666802211,1.1123291493561462,0.358125,0.5622384859445738,1.9920059068857705,0.9411126126291403,0.8879669205786259,0.7447048967082541,0.2485469500167869,1.2487531546052058,0.0,0.0,0.0,0.0,0.0,0.4132980768436776,0.41294040659363784,0.25980351262448065,0.8965149690043491,0.226875,0.322749135826164,3.12681334349274,0.938958318744644,0.8862777435014467,0.7340837274005665,0.26572247414893435,1.211185116783087,-0.45644516991539097,-0.3498024353354422,-0.25024432312762473,-0.15546909854862673,0.1334788340867854,0.15245637962445457,0.17312593646553254,0.15055533595645854,-0.2158141803517971,-0.13125000000000003,-0.23948935011840983,1.1348074366069694,-0.0021542938844962833,-0.0016891770771791936,-0.010621169307687639,0.017175524132147457,-0.037568037822118816,-0.45644516991539097,-0.3498024353354422,-0.25024432312762473,-0.15546909854862673,0.1334788340867854,0.02667168,-0.06423971782211882,-0.24248586035179712,0.0
2,공공AI+공교육,0.45,0.0136,0.065,0.18,공공AI+공교육,0.98,0.82,0.065,0.0,0.0,0.0,0.25,0.86,0.260841697219223,0.2398144701281053,0.10924817666802211,1.1123291493561462,0.358125,0.5622384859445738,1.9920059068857705,0.9411126126291403,0.8879669205786259,0.7447048967082541,0.2485469500167869,1.2487531546052058,0.0,0.0,0.0,0.0,0.0,0.41067204278254243,0.413587265670613,0.2589374230847643,0.9472632676188666,0.223125,0.3491890679646593,3.173527880567091,0.9552296774986604,0.9148245945277723,0.21151580264045122,0.26509997686211634,1.2782500386970919,-0.3865393783837563,-0.2847595120666708,-0.1918356612694921,-0.10545359226382996,0.16541628211336906,0.14983034556331942,0.17377279554250769,0.1496892464167422,-0.16506588173727965,-0.13500000000000004,-0.2130494179799145,1.1815219736813203,0.014117064869520135,0.0268576739491464,-0.5331890940678029,0.016553026845329444,0.02949688409188611,-0.3865393783837563,-0.2847595120666708,-0.1918356612694921,-0.10545359226382996,0.16541628211336906,0.04629498,-0.01679809590811389,-0.21136086173727964,0.0
2,공공AI+돌봄,0.45,0.0136,0.065,0.18,공공AI+돌봄,0.98,0.78,0.0,0.075,0.0,0.0,0.1,0.88,0.260841697219223,0.2398144701281053,0.10924817666802211,1.1123291493561462,0.358125,0.5622384859445738,1.9920059068857705,0.9411126126291403,0.8879669205786259,0.7447048967082541,0.2485469500167869,1.2487531546052058,0.0,0.0,0.0,0.0,0.0,0.40973724306822545,0.4102552369918096,0.25589108586398457,0.9133069853699054,0.2225,0.32906790437856703,3.145017826341292,0.9567284013771306,0.920050572104491,0.730711135670046,0.26547826990859813,1.2273834757514575,-0.43518675760332437,-0.32874428469913913,-0.23043401012257375,-0.1363994088590547,0.14506762892630706,0.14889554584900244,0.1704407668637043,0.14664290919596246,-0.19902216398624084,-0.13562500000000002,-0.23317058156600678,1.1530119194555215,0.0156157887479903,0.03208365152586512,-0.013993761038208152,0.016931319891811236,-0.021369678853748297,-0.43518675760332437,-0.32874428469913913,-0.23043401012257375,-0.1363994088590547,0.14506762892630706,0.04255218,-0.06392185885374829,-0.24157434398624084,0.0
2,공공AI 종합안,0.45,0.0136,0.065,0.18,공공AI 종합안,0.98,0.9,0.065,0.075,0.22,0.08,0.35,0.92,0.260841697219223,0.2398144701281053,0.10924817666802211,1.1123291493561462,0.358125,0.5622384859445738,1.9920059068857705,0.9411126126291403,0.8879669205786259,0.7447048967082541,0.2485469500167869,1.2487531546052058,0.0,0.0,0.0,0.0,0.0,0.3845850607050263,0.38272618511080636,0.2262250159283905,1.0033867044872804,0.234375,0.42290840341163044,3.035128425021399,0.9731890128252221,0.9489921765997089,0.2091809149789048,0.25423717136843255,1.2967422379145064,-0.2476581593605788,-0.20423030939648049,-0.13725185262715828,-0.07526340746564737,0.14902789318439055,0.12374336348580328,0.14291171498270105,0.11697683926036839,-0.10894244486886584,-0.12375000000000003,-0.13933008253294338,1.0431225181356283,0.03207640019608182,0.061025256021082996,-0.5355239817293493,0.005690221351645652,0.04798908330930063,-0.2476581593605788,-0.20423030939648049,-0.13725185262715828,-0.07526340746564737,0.14902789318439055,0.06642450000000001,-0.018435416690699383,-0.17536694486886584,1.1368683772161603e-13
2,공공AI 실패,0.45,0.0136,0.065,0.18,공공AI 실패,0.9,0.42,0.018,0.025,0.0,0.0,0.04,0.38,0.260841697219223,0.2398144701281053,0.10924817666802211,1.1123291493561462,0.358125,0.5622384859445738,1.9920059068857705,0.9411126126291403,0.8879669205786259,0.7447048967082541,0.2485469500167869,1.2487531546052058,0.0,0.0,0.0,0.0,0.0,0.4194749035273989,0.42049832970778805,0.26448104460394906,0.87752877461094,0.23,0.3188643085475088,3.1165343394339993,0.9496018445784428,0.9041857784234145,0.5462410097714258,0.26683235453261017,1.1930743159955977,-0.4728369803444078,-0.3766875683821474,-0.2741075378756289,-0.1781915419069461,0.11631521724662985,0.1586332063081759,0.18068385957968275,0.15523286793592694,-0.2348003747452062,-0.12812500000000002,-0.24337417739706502,1.1245284325482288,0.008489231949302511,0.016218857844788603,-0.19846388693682837,0.018285404515823278,-0.055678838609608095,-0.4728369803444078,-0.3766875683821474,-0.2741075378756289,-0.1781915419069461,0.11631521724662985,0.015324899999999999,-0.0710037386096081,-0.2501252747452062,0.0
3,시장·고가AI,0.45,0.0136,0.065,0.18,시장·고가AI,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.65,0.2683455656314737,0.2470978336557962,0.11483383917838141,1.0709028701552714,0.359375,0.62386748946905,2.1277024855742632,0.9413492534255505,0.8885496502148228,0.7198945170436457,0.2498752445082495,1.2098325913874186,0.0,0.0,0.0,0.0,0.0,0.426959336604555,0.44365256207608667,0.272932320617564,0.811003236044145,0.22125,0.4073172552204986,3.0874418934652854,0.9390276798613704,0.8867843571132221,0.7273032875260093,0.26748035931620706,1.1154439387719766,-0.49909005513531257,-0.4338736786384002,-0.3064395840783819,-0.20879082676980637,0.058267488424382084,0.15861377097308127,0.19655472842029045,0.1580984814391826,-0.2598996341111264,-0.138125,-0.2165502342485514,0.9597394078910222,-0.0023215735641801682,-0.0017652931016006734,0.007408770482363547,0.017605114807957567,-0.09438865261544205,-0.49909005513531257,-0.4338736786384002,-0.3064395840783819,-0.20879082676980637,0.058267488424382084,0.0,-0.09438865261544205,-0.2598996341111264,0.0
3,전국민 공공AI,0.45,0.0136,0.065,0.18,전국민 공공AI,0.98,0.72,0.0,0.0,0.0,0.0,0.1,0.82,0.2683455656314737,0.2470978336557962,0.11483383917838141,1.0709028701552714,0.359375,0.62386748946905,2.1277024855742632,0.9413492534255505,0.8885496502148228,0.7198945170436457,0.2498752445082495,1.2098325913874186,0.0,0.0,0.0,0.0,0.0,0.41875019255536006,0.44207942520667504,0.2665410660650689,0.850173716848354,0.209375,0.4232321845602676,3.145416553030053,0.9391857367487646,0.8868995678351123,0.7057188911422732,0.26584333027723384,1.159129267520487,-0.45574917001413906,-0.3752805048575548,-0.2559563903242795,-0.15580174964876595,0.08870444398893737,0.15040462692388634,0.19498159155087882,0.15170722688668747,-0.22072915330691745,-0.15,-0.2006353049087824,1.0177140674557896,-0.002163516676785937,-0.001650082379710538,-0.014175625901372557,0.01596808576898434,-0.05070332386693166,-0.45574917001413906,-0.3752805048575548,-0.2559563903242795,-0.15580174964876595,0.08870444398893737,0.02667168,-0.07737500386693166,-0.24740083330691745,0.0
