period,gini,wolfson,atkinson_e1,ede_e1,middle_share,bottom20_income,top20_income,employment,vulnerable_employment,skill_gap,capital_top10,output,growth_q1,growth_q2,growth_q3,growth_q4,growth_q5,seed,policy
10,0.34721662432172284,0.317877785999437,0.1805355382671463,0.9467445642625406,0.30714285714285716,0.1915218918617058,3.5943332762822737,0.968895172724688,0.881259620884579,0.731022345686702,0.37868533707157775,1.155321076719469,-0.16585942902415818,-0.11023282253077642,-0.05100800967288783,0.004046047814238,0.10309808320691335,0,시장·고가AI
11,0.354459734401419,0.3265749996897429,0.18763313100486612,0.9438769504909105,0.30214285714285716,0.18698741815032033,3.675453486133372,0.9682827164842314,0.880623774973085,0.7321114719474193,0.3808675568351509,1.1618850872863014,-0.1817024005256136,-0.12010215907630466,-0.05465610291020693,0.00607769189340868,0.11525925690425365,0,시장·고가AI
12,0.3618664844940698,0.3357550224536498,0.19500927065634144,0.9411293035005183,0.2935714285714286,0.18259119996164452,3.759763127385072,0.967672090942124,0.8799895665292066,0.7331462954852576,0.383391108447413,1.169118188811763,-0.19747075715228252,-0.12985885506211486,-0.0582055269985226,0.008248056147276351,0.12758703078176817,0,시장·고가AI
13,0.3694165914079217,0.34452629709216237,0.2026531712603089,0.9385157363176114,0.2907142857142857,0.17831292962303494,3.8473727138789378,0.9670635670824868,0.8793572862432911,0.7341609597162075,0.38629228235660173,1.177048308828237,-0.21315220944185956,-0.13947215727447107,-0.06162096508813233,0.010589299376065264,0.1400513927789468,0,시장·고가AI
14,0.3771061439137744,0.3536651624704971,0.21056160983696415,0.936029019720111,0.2864285714285714,0.17416981339709123,3.938421981639743,0.9664570901702153,0.8787270322635942,0.7350846886652532,0.38968002879269137,1.1856897655139385,-0.2287491119928974,-0.1489438217769195,-0.06489824729710289,0.013059861510518647,0.15266096273379348,0,시장·고가AI
15,0.38492304069479955,0.3632122738698793,0.2187314855239778,0.9336777945597717,0.2814285714285714,0.17013879955400843,4.033141323180059,0.9658527053595185,0.878099081828327,0.7359920570703614,0.39350147669051094,1.1950792554157474,-0.24425932427625593,-0.15829407473860974,-0.06802781932296015,0.015690721085325807,0.165444765607534,0,시장·고가AI
0,0.28674570602246163,0.25868531044937426,0.12584051831648935,0.9893226839264871,0.35642857142857143,0.24527790378099995,2.969644215655765,0.9751420349263461,0.8877382222480147,0.7165055426075388,0.3669487155396296,1.131741638289146,0.0,0.0,0.0,0.0,0.0,0,전국민 공공AI
1,0.290748321478394,0.26344418620797855,0.1292230395135111,0.9817898157919563,0.3492857142857143,0.23944947377251194,2.9955306157428585,0.9745458498910667,0.8871150120457294,0.7175198908156871,0.36777800299272095,1.1274871297047713,-0.017087312148141805,-0.012900746715480227,-0.008261152370800965,-0.0035782614640150917,0.0036109588864026597,0,전국민 공공AI
2,0.29554999429682904,0.26779395038323117,0.13336570927835023,0.9802875571988456,0.34785714285714286,0.2340643269533422,3.052553524490347,0.9739486153223332,0.8864934581161295,0.7186306749322963,0.3685446234169455,1.1311432834979982,-0.030554734655514743,-0.02059255119581623,-0.009643652997807452,-0.0008967999125779665,0.015814753765927857,0,전국민 공공AI
3,0.3006520037657321,0.27096880553897584,0.13780242416513033,0.9789119386493798,0.34285714285714286,0.22914199654077239,3.112957779412583,0.9733542260526363,0.8858800439483923,0.7184195910604387,0.3693046724958456,1.135368465518469,-0.04409109370523203,-0.02846981082953483,-0.011231670242968415,0.0024157615860602062,0.028482497400137138,0,전국민 공공AI
