policy,delta_gini,delta_wolfson,delta_atkinson,delta_ede,fiscal_cost,delta_net_output,delta_net_ede,delta_middle,delta_skill_gap,delta_capital,delta_output,delta_vulnerable_employment
시장·고가AI,0.10395670104191632,0.1105439330307493,0.09686790751104707,-0.07556467686076139,0.0,0.04644935115419641,-0.07556467686076139,-0.0895,0.010410685449763205,0.034851941123474506,0.04644935115419641,-0.009901379587784323
전국민 공공AI,0.0939036066759256,0.097941674405475,0.08697324160981154,-0.032072756452335996,0.026671679999999996,0.05985939891022405,-0.058744436452336,-0.08398214285714287,-0.010587268436040808,0.031222142629610372,0.08653107891022405,-0.00925719965841384
공공AI+공교육,0.08174736586206503,0.08453291720979372,0.07379952681127891,0.042842391451570774,0.04629498,0.11328381224941526,-0.0034525885484292308,-0.07555357142857143,-0.48826238783240405,0.025352873608627903,0.15957879224941524,0.020532556569753856
공공AI+돌봄,0.0916768501958684,0.09537191838223205,0.08480314329181482,-0.018848736700978357,0.04255218,0.0572953057899774,-0.06140091670097836,-0.08339285714285714,-0.015016779482465728,0.030207244464241372,0.0998474857899774,0.024624244601897126
공공AI 종합안,0.07644430718943862,0.07843493973564639,0.06845470108153398,0.06844331455758997,0.06642450000000001,0.11617285430303925,0.0020188145575899515,-0.07096428571428573,-0.49109674201880454,0.007833691112648727,0.18259735430303925,0.05489949818298594
공공AI 실패,0.10008571991863982,0.10651340387397779,0.0926343520655939,-0.052318466112487715,0.015324899999999999,0.054321473199709966,-0.06764336611248772,-0.08696428571428572,-0.1788860294848018,0.03317148154854519,0.06964637319970997,0.008513258020932843
