C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,LST_CHN_DE,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,150.84289,T001,지역별 노동생산성,2025-09-02,344,2020,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,160.2805533,T001,지역별 노동생산성,2025-09-02,344,2021,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,168.1375812,T001,지역별 노동생산성,2025-09-02,344,2022,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,153.5366819,T001,지역별 노동생산성,2026-07-30,344,2023,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,149.4629059,T001,지역별 노동생산성,2026-07-30,344,2024,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,435.37952,T001,지역별 노동생산성,2025-09-02,344,2011,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,491.32556,T001,지역별 노동생산성,2025-09-02,344,2012,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,531.37529,T001,지역별 노동생산성,2025-09-02,344,2013,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,541.31145,T001,지역별 노동생산성,2025-09-02,344,2014,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,486.91517,T001,지역별 노동생산성,2025-09-02,344,2015,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,430.25079,T001,지역별 노동생산성,2025-09-02,344,2016,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,442.93975,T001,지역별 노동생산성,2025-09-02,344,2017,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,421.7249,T001,지역별 노동생산성,2025-09-02,344,2018,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,431.58999,T001,지역별 노동생산성,2025-09-02,344,2019,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,435.27269,T001,지역별 노동생산성,2025-09-02,344,2020,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,432.6941278,T001,지역별 노동생산성,2025-09-02,344,2021,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,510.81176,T001,지역별 노동생산성,2025-09-02,344,2022,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,515.036488,T001,지역별 노동생산성,2026-07-30,344,2023,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C11,음료 제조업,Manufacture of beverages,산업별,By industry,530.4923765,T001,지역별 노동생산성,2026-07-30,344,2024,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C12,담배 제조업,Manufacture of tobacco products,산업별,By industry,922.61036,T001,지역별 노동생산성,2025-09-02,344,2011,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C12,담배 제조업,Manufacture of tobacco products,산업별,By industry,1163.95453,T001,지역별 노동생산성,2025-09-02,344,2012,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C12,담배 제조업,Manufacture of tobacco products,산업별,By industry,1127.82587,T001,지역별 노동생산성,2025-09-02,344,2013,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
