C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ITM_NM_ENG,LST_CHN_DE,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1368.3,T30,취업자,Employed persons,2026-01-27,101,201503,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1353.9,T30,취업자,Employed persons,2026-01-27,101,201504,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1366,T30,취업자,Employed persons,2026-01-27,101,201505,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1358.3,T30,취업자,Employed persons,2026-01-27,101,201506,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1363.7,T30,취업자,Employed persons,2026-01-27,101,201507,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1335.6,T30,취업자,Employed persons,2026-01-27,101,201508,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1331.9,T30,취업자,Employed persons,2026-01-27,101,201509,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1325.4,T30,취업자,Employed persons,2026-01-27,101,201510,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1257.8,T30,취업자,Employed persons,2026-01-27,101,201511,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1285.7,T30,취업자,Employed persons,2026-01-27,101,201512,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1215.4,T30,취업자,Employed persons,2026-01-27,101,201601,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1272,T30,취업자,Employed persons,2026-01-27,101,201602,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1328.5,T30,취업자,Employed persons,2026-01-27,101,201603,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1292.2,T30,취업자,Employed persons,2026-01-27,101,201604,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1273.9,T30,취업자,Employed persons,2026-01-27,101,201605,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1269.7,T30,취업자,Employed persons,2026-01-27,101,201606,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1259.6,T30,취업자,Employed persons,2026-01-27,101,201607,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1273,T30,취업자,Employed persons,2026-01-27,101,201608,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1271.9,T30,취업자,Employed persons,2026-01-27,101,201609,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1282.5,T30,취업자,Employed persons,2026-01-27,101,201610,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1283.9,T30,취업자,Employed persons,2026-01-27,101,201611,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1239.4,T30,취업자,Employed persons,2026-01-27,101,201612,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1186.3,T30,취업자,Employed persons,2026-01-27,101,201701,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1242.4,T30,취업자,Employed persons,2026-01-27,101,201702,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1264.2,T30,취업자,Employed persons,2026-01-27,101,201703,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1280.2,T30,취업자,Employed persons,2026-01-27,101,201704,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1279,T30,취업자,Employed persons,2026-01-27,101,201705,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1292.6,T30,취업자,Employed persons,2026-01-27,101,201706,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1283.2,T30,취업자,Employed persons,2026-01-27,101,201707,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1291.3,T30,취업자,Employed persons,2026-01-27,101,201708,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1301.9,T30,취업자,Employed persons,2026-01-27,101,201709,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1301.6,T30,취업자,Employed persons,2026-01-27,101,201710,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1292.5,T30,취업자,Employed persons,2026-01-27,101,201711,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1302.9,T30,취업자,Employed persons,2026-01-27,101,201712,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1289.9,T30,취업자,Employed persons,2026-01-27,101,201801,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1275.4,T30,취업자,Employed persons,2026-01-27,101,201802,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1285.9,T30,취업자,Employed persons,2026-01-27,101,201803,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1337.9,T30,취업자,Employed persons,2026-01-27,101,201804,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1341.9,T30,취업자,Employed persons,2026-01-27,101,201805,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1337.4,T30,취업자,Employed persons,2026-01-27,101,201806,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1342.6,T30,취업자,Employed persons,2026-01-27,101,201807,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1358.8,T30,취업자,Employed persons,2026-01-27,101,201808,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1359.7,T30,취업자,Employed persons,2026-01-27,101,201809,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1358.4,T30,취업자,Employed persons,2026-01-27,101,201810,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1381.5,T30,취업자,Employed persons,2026-01-27,101,201811,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1397.2,T30,취업자,Employed persons,2026-01-27,101,201812,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1407.4,T30,취업자,Employed persons,2026-01-27,101,201901,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1403.2,T30,취업자,Employed persons,2026-01-27,101,201902,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1365.6,T30,취업자,Employed persons,2026-01-27,101,201903,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1357.1,T30,취업자,Employed persons,2026-01-27,101,201904,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1363.9,T30,취업자,Employed persons,2026-01-27,101,201905,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1367.2,T30,취업자,Employed persons,2026-01-27,101,201906,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1396.3,T30,취업자,Employed persons,2026-01-27,101,201907,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1413.9,T30,취업자,Employed persons,2026-01-27,101,201908,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1422.4,T30,취업자,Employed persons,2026-01-27,101,201909,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1416.8,T30,취업자,Employed persons,2026-01-27,101,201910,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1410.3,T30,취업자,Employed persons,2026-01-27,101,201911,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1435.4,T30,취업자,Employed persons,2026-01-27,101,201912,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1488,T30,취업자,Employed persons,2026-01-27,101,202001,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1482.6,T30,취업자,Employed persons,2026-01-27,101,202002,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1504.1,T30,취업자,Employed persons,2026-01-27,101,202003,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1435.4,T30,취업자,Employed persons,2026-01-27,101,202004,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1418.9,T30,취업자,Employed persons,2026-01-27,101,202005,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1422.5,T30,취업자,Employed persons,2026-01-27,101,202006,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1433.1,T30,취업자,Employed persons,2026-01-27,101,202007,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1415,T30,취업자,Employed persons,2026-01-27,101,202008,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1423.8,T30,취업자,Employed persons,2026-01-27,101,202009,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1441.4,T30,취업자,Employed persons,2026-01-27,101,202010,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
