C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ITM_NM_ENG,LST_CHN_DE,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
B,광업,Mining and quarrying,산업별,By industry,129.40672,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201702,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,121.09788,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201703,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,124.61262,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201704,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,97.8012,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201801,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,122.54906,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201802,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,114.61796,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201803,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,105.8739,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201804,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,92.0993,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201901,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,110.04425,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201902,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,94.1516,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201903,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,105.94664,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201904,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,78.14858,T001,노동생산성지수,Indices of Labor Productivity,2025-03-25,344,202001,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,105.18802,T001,노동생산성지수,Indices of Labor Productivity,2025-03-25,344,202002,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,101.24092,T001,노동생산성지수,Indices of Labor Productivity,2025-03-25,344,202003,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,119.69835,T001,노동생산성지수,Indices of Labor Productivity,2025-03-25,344,202004,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,96.42426,T001,노동생산성지수,Indices of Labor Productivity,2025-03-25,344,202101,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,122.7074,T001,노동생산성지수,Indices of Labor Productivity,2025-03-25,344,202102,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,116.46552,T001,노동생산성지수,Indices of Labor Productivity,2025-03-25,344,202103,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,117.21269,T001,노동생산성지수,Indices of Labor Productivity,2025-03-25,344,202104,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,97.55387,T001,노동생산성지수,Indices of Labor Productivity,2025-03-25,344,202201,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,117.22659,T001,노동생산성지수,Indices of Labor Productivity,2025-03-25,344,202202,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,111.65534,T001,노동생산성지수,Indices of Labor Productivity,2024-06-26,344,202203,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,112.00046,T001,노동생산성지수,Indices of Labor Productivity,2025-03-25,344,202204,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,96.11747,T001,노동생산성지수,Indices of Labor Productivity,2025-06-26,344,202301,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,118.02684,T001,노동생산성지수,Indices of Labor Productivity,2025-06-26,344,202302,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,97.94749,T001,노동생산성지수,Indices of Labor Productivity,2025-06-26,344,202303,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,112.76141,T001,노동생산성지수,Indices of Labor Productivity,2025-06-26,344,202304,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,100.09517,T001,노동생산성지수,Indices of Labor Productivity,2026-06-29,344,202401,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,116.41762,T001,노동생산성지수,Indices of Labor Productivity,2026-06-29,344,202402,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,94.18657,T001,노동생산성지수,Indices of Labor Productivity,2026-06-29,344,202403,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,105.01376,T001,노동생산성지수,Indices of Labor Productivity,2026-06-29,344,202404,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,89.1689,T001,노동생산성지수,Indices of Labor Productivity,2026-06-29,344,202501,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,104.43622,T001,노동생산성지수,Indices of Labor Productivity,2026-06-29,344,202502,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,97.33818,T001,노동생산성지수,Indices of Labor Productivity,2026-06-29,344,202503,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,106.94461,T001,노동생산성지수,Indices of Labor Productivity,2026-06-29,344,202504,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,172.47421,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201101,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,136.44448,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201102,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,179.06215,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201103,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,213.40609,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201104,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,209.05223,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201201,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,185.26104,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201202,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,178.16223,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201203,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,183.06197,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201204,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,229.96758,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201301,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,189.01335,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201302,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,199.58631,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201303,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,184.98318,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201304,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,188.09016,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201401,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,178.43511,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201402,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,187.59592,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201403,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,173.50954,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201404,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,155.15426,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201501,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,151.88855,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201502,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,144.24853,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201503,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,146.69966,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201504,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,141.29879,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201601,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,143.14653,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201602,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,139.16598,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201603,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,150.77119,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201604,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,154.1065,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201701,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,155.7731,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201702,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,140.33297,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201703,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,140.99634,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201704,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,149.87159,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201801,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,150.71724,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201802,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,147.91403,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201803,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,115.54442,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201804,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,139.94348,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201901,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
