spec_id,policy,wolfson_vs_market,output_vs_market,ede_vs_market,vulnerable_vs_market
15,공공AI 종합안,-0.025977830524242754,-0.011917004540186689,-0.00329443225423616,0.051590413418608226
15,공공AI+공교육,-0.020382572241770383,0.006043693318361354,0.011060748926112578,0.024029455663654477
15,공공AI+돌봄,-0.014394339273702067,-0.03263313504183097,-0.02856081636176455,0.02777088453212902
15,전국민 공공AI,-0.011307266686793133,-0.015667044355715212,-0.011964776376059957,0.0006335867184454891
16,공공AI 실패,-0.0017940943846946333,-0.03154478889220172,-0.031172856477602005,0.014527367581371187
16,공공AI 종합안,-0.019982157373652963,-0.11350554678014005,-0.10832503601574583,0.05085582547733147
16,공공AI+공교육,-0.015154215193753026,-0.06863151305589459,-0.06477971977269151,0.02334884690541909
16,공공AI+돌봄,-0.00927691908038246,-0.09101045080192684,-0.08910752397414395,0.027545212095528293
16,전국민 공공AI,-0.0061959537040531115,-0.05276677554266706,-0.050938776446971236,0.0004481075025705534
17,공공AI 실패,0.00027672651442028906,-0.003928057275057101,-0.003975231299609777,0.014385861042661818
17,공공AI 종합안,-0.019499584069879818,0.007796032006843409,0.013129742639522022,0.05019527619044828
17,공공AI+공교육,-0.012632689486485438,0.015335598677237008,0.017503749688786114,0.022743187890856758
17,공공AI+돌봄,-0.009478961679516729,-0.011923040133540189,-0.010471451536913656,0.0273157306398563
17,전국민 공공AI,-0.006385085279458282,-0.003224385406187566,-0.00177576773570983,0.0002594976701203455
18,공공AI 실패,-0.004115772370511958,0.00712036079513634,0.00791762474666284,0.01484385235330262
18,공공AI 종합안,-0.034397849890165394,0.054528985324441406,0.06451723986552149,0.05225911663467168
18,공공AI+공교육,-0.02750517200153875,0.05283130192163567,0.060234169396308365,0.024640703102148755
18,공공AI+돌봄,-0.018291513565372272,0.009148756567845277,0.013690609811932153,0.028011091674777222
18,전국민 공공AI,-0.013152702982613715,0.010754545082014184,0.014864861651739503,0.0008310119474057576
19,공공AI 실패,-0.005128153970248156,-0.02167668378568506,-0.02045173876956266,0.014828931694052527
19,공공AI 종합안,-0.03375312249240431,-0.06995357381196397,-0.06001348241624363,0.052257887117942034
19,공공AI+공교육,-0.027157345808603878,-0.03528445720217861,-0.02739148436413777,0.024634969788209303
19,공공AI+돌봄,-0.014953602034244784,-0.06749092644480263,-0.06405462185895183,0.028029920838781273
19,전국민 공공AI,-0.012356272692924969,-0.03729601202390165,-0.03413453036752939,0.0008464875572217201
