spec_id,seed,policy,premium_gap,rearrangement_speed,capital_return,feedback,name,public_access,public_quality,education,care,capital_dividend,worker_ownership,equalizing_design,trust,initial_gini,initial_wolfson,initial_atkinson_e1,initial_ede_e1,initial_middle_share,initial_bottom20_income,initial_top20_income,initial_employment,initial_vulnerable_employment,initial_skill_gap,initial_capital_top10,initial_output,initial_growth_q1,initial_growth_q2,initial_growth_q3,initial_growth_q4,initial_growth_q5,final_gini,final_wolfson,final_atkinson_e1,final_ede_e1,final_middle_share,final_bottom20_income,final_top20_income,final_employment,final_vulnerable_employment,final_skill_gap,final_capital_top10,final_output,final_growth_q1,final_growth_q2,final_growth_q3,final_growth_q4,final_growth_q5,delta_gini,delta_wolfson,delta_atkinson_e1,delta_ede_e1,delta_middle_share,delta_bottom20_income,delta_top20_income,delta_employment,delta_vulnerable_employment,delta_skill_gap,delta_capital_top10,delta_output,delta_growth_q1,delta_growth_q2,delta_growth_q3,delta_growth_q4,delta_growth_q5,fiscal_cost,delta_net_output,delta_net_ede_e1,cost_multiplier,delta_net_output_adjusted,delta_net_ede_adjusted
0,0,시장·고가AI,0.7420719597572102,0.047006140475907524,0.03794152970765536,0.14760941557257845,시장·고가AI,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.65,0.2832576404259529,0.2365107651995031,0.12333664853534487,0.9894476885592076,0.41,0.24181273400923195,2.8855514449326347,0.9769258607025104,0.888350938883115,0.7011431533404028,0.3775797124762858,1.1286518215984755,0.0,0.0,0.0,0.0,0.0,0.37671816231369415,0.3587156332434519,0.20761998811105764,0.9632840014649967,0.31444444444444447,0.1862042926872576,3.877727595907666,0.9692296089151867,0.8805382311560882,0.7247770081813125,0.3954456627285004,1.215684377460051,-0.19178573936403168,-0.1246136953470274,-0.06323542856266423,0.051956828133723675,0.19368495748764364,0.09346052188774123,0.12220486804394881,0.08428333957571277,-0.026163687094210908,-0.0955555555555555,-0.055608441321974345,0.9921761509750313,-0.0076962517873236935,-0.007812707727026802,0.02363385484090974,0.017865950252214602,0.08703255586157543,-0.19178573936403168,-0.1246136953470274,-0.06323542856266423,0.051956828133723675,0.19368495748764364,0.0,0.08703255586157543,-0.026163687094210908,3.76193196621641,0.08703255586157543,-0.026163687094210908
0,0,전국민 공공AI,0.7420719597572102,0.047006140475907524,0.03794152970765536,0.14760941557257845,전국민 공공AI,0.98,0.72,0.0,0.0,0.0,0.0,0.1,0.82,0.2832576404259529,0.2365107651995031,0.12333664853534487,0.9894476885592076,0.41,0.24181273400923195,2.8855514449326347,0.9769258607025104,0.888350938883115,0.7011431533404028,0.3775797124762858,1.1286518215984755,0.0,0.0,0.0,0.0,0.0,0.3690082719506532,0.3446301903200979,0.20020233967536516,0.9938419068346771,0.32666666666666666,0.19105219798127887,3.9091094600067358,0.9696883243611504,0.8810223371694613,0.7115136297595546,0.393893918372875,1.242616671860831,-0.15653662758115086,-0.0857160796932142,-0.027202666768712223,0.07843964636477219,0.2131719749357306,0.0857506315247003,0.1081194251205948,0.07686569114002029,0.004394218275469486,-0.08333333333333331,-0.05076053602795308,1.023558015074101,-0.00723753634136004,-0.007328601713653682,0.010370476419151786,0.016314205896589218,0.11396485026235537,-0.15653662758115086,-0.0857160796932142,-0.027202666768712223,0.07843964636477219,0.2131719749357306,0.021337343999999998,0.09262750626235537,-0.016943125724530512,3.76193196621641,0.03369521379459946,-0.07587541819228642
0,0,공공AI+공교육,0.7420719597572102,0.047006140475907524,0.03794152970765536,0.14760941557257845,공공AI+공교육,0.98,0.82,0.065,0.0,0.0,0.0,0.25,0.86,0.2832576404259529,0.2365107651995031,0.12333664853534487,0.9894476885592076,0.41,0.24181273400923195,2.8855514449326347,0.9769258607025104,0.888350938883115,0.7011431533404028,0.3775797124762858,1.1286518215984755,0.0,0.0,0.0,0.0,0.0,0.3606831404798154,0.3380107938557091,0.19178262809597035,1.0469178152726517,0.33,0.20708493518830076,3.961344740238223,0.9802548397695002,0.9047406628014716,0.2502813899268247,0.3902241529469303,1.295341886559902,-0.08492335140299405,-0.020115926739068393,0.02597713934322408,0.12126184923777868,0.24009436577274,0.0774255000538625,0.101500028656206,0.06844597956062548,0.05747012671344409,-0.07999999999999996,-0.03472779882093119,1.0757932953055884,0.0033289790669898123,0.01638972391835658,-0.4508617634135781,0.012644440470644502,0.16669006496142647,-0.08492335140299405,-0.020115926739068393,0.02597713934322408,0.12126184923777868,0.24009436577274,0.037035983999999994,0.12965408096142647,0.020434142713444098,3.76193196621641,0.02736321285154697,-0.0818567253964354
0,0,공공AI+돌봄,0.7420719597572102,0.047006140475907524,0.03794152970765536,0.14760941557257845,공공AI+돌봄,0.98,0.78,0.0,0.075,0.0,0.0,0.1,0.88,0.2832576404259529,0.2365107651995031,0.12333664853534487,0.9894476885592076,0.41,0.24181273400923195,2.8855514449326347,0.9769258607025104,0.888350938883115,0.7011431533404028,0.3775797124762858,1.1286518215984755,0.0,0.0,0.0,0.0,0.0,0.3674933204627667,0.3407260189692351,0.19875756597245375,1.0030416054877547,0.3244444444444444,0.19273780271807453,3.9263479204549703,0.9753654857832519,0.9081298259546599,0.7091137785161653,0.39347372916763135,1.251857818420624,-0.14616195007774752,-0.07528042150056165,-0.01688802821510792,0.08588214568932238,0.2206751093069078,0.08423568003681381,0.10421525376973201,0.07542091743710888,0.013593916928547056,-0.08555555555555555,-0.04907493129115742,1.0407964755223356,-0.0015603749192585337,0.01977888707154485,0.007970625175762525,0.015894016691345547,0.12320599682214839,-0.14616195007774752,-0.07528042150056165,-0.01688802821510792,0.08588214568932238,0.2206751093069078,0.034041744,0.08916425282214839,-0.020447827071452943,3.76193196621641,-0.004856728117207276,-0.11446880801080861
0,0,공공AI 종합안,0.7420719597572102,0.047006140475907524,0.03794152970765536,0.14760941557257845,공공AI 종합안,0.98,0.9,0.065,0.075,0.22,0.08,0.35,0.92,0.2832576404259529,0.2365107651995031,0.12333664853534487,0.9894476885592076,0.41,0.24181273400923195,2.8855514449326347,0.9769258607025104,0.888350938883115,0.7011431533404028,0.3775797124762858,1.1286518215984755,0.0,0.0,0.0,0.0,0.0,0.3568307460205906,0.3316167465056036,0.188021091647807,1.0643498838777803,0.33666666666666667,0.21282696294968562,3.9791287591819,0.9859527660984496,0.932231403071849,0.24809107297101107,0.3804925968842362,1.3108097672607553,-0.06151563539594593,0.0008048078491684667,0.04432057281833348,0.1323012206345552,0.2489518189512199,0.0735731055946377,0.09510598130610048,0.06468444311246213,0.07490219531857267,-0.0733333333333333,-0.028985771059546334,1.093577314249265,0.0090269053959392,0.043880464188734036,-0.4530520803693917,0.0029128844079504,0.18215794566227972,-0.06151563539594593,0.0008048078491684667,0.04432057281833348,0.1323012206345552,0.2489518189512199,0.05313960000000001,0.1290183456622797,0.021762595318572664,3.76193196621641,-0.017749614249673862,-0.1250053645933809
0,0,공공AI 실패,0.7420719597572102,0.047006140475907524,0.03794152970765536,0.14760941557257845,공공AI 실패,0.9,0.42,0.018,0.025,0.0,0.0,0.04,0.38,0.2832576404259529,0.2365107651995031,0.12333664853534487,0.9894476885592076,0.41,0.24181273400923195,2.8855514449326347,0.9769258607025104,0.888350938883115,0.7011431533404028,0.3775797124762858,1.1286518215984755,0.0,0.0,0.0,0.0,0.0,0.37405620258892214,0.35560980442820705,0.2049052372897181,0.9797409009098431,0.31777777777777777,0.19061396055248264,3.8973119807345706,0.9756513937481501,0.8953656675617739,0.5548742284572767,0.39434040852046914,1.232231611701413,-0.17022334443343887,-0.10380403489283697,-0.045134611280266995,0.0665592104593641,0.20330904402662572,0.09079856216296922,0.11909903922870396,0.08156858875437323,-0.009706787649364501,-0.0922222222222222,-0.05119877345674931,1.011760535801936,-0.0012744669543602871,0.0070147286786589325,-0.14626892488312604,0.016760696044183343,0.10357979010293739,-0.17022334443343887,-0.10380403489283697,-0.045134611280266995,0.0665592104593641,0.20330904402662572,0.01225992,0.09131987010293738,-0.0219667076493645,3.76193196621641,0.057458805151681495,-0.05582777260062039
0,1,시장·고가AI,0.7420719597572102,0.047006140475907524,0.03794152970765536,0.14760941557257845,시장·고가AI,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.65,0.2902529693882755,0.2625250275150641,0.12827676623833895,0.9829376643352773,0.36777777777777776,0.31235750375745475,2.6246000976742723,0.9750273307639507,0.8847415266028491,0.6626895825478927,0.39602206058469486,1.1275799775276192,0.0,0.0,0.0,0.0,0.0,0.3861146654587275,0.3728168147068641,0.21901105998701076,0.9614171090102356,0.2911111111111111,0.23920761281664393,3.6073508353431425,0.9674495919904953,0.8766286568614465,0.6829781857220593,0.41187379988829464,1.231025254972555,-0.21015601683777893,-0.1148383369910971,-0.058137310669250514,0.053645426871375496,0.21879947160636332,0.09586169607045203,0.1102917871918,0.09073429374867181,-0.021520555325041713,-0.07666666666666666,-0.07314989094081081,0.9827507376688702,-0.007577738773455356,-0.008112869741402573,0.020288603174166586,0.015851739303599788,0.10344527744493592,-0.21015601683777893,-0.1148383369910971,-0.058137310669250514,0.053645426871375496,0.21879947160636332,0.0,0.10344527744493592,-0.021520555325041713,3.76193196621641,0.10344527744493592,-0.021520555325041713
0,1,전국민 공공AI,0.7420719597572102,0.047006140475907524,0.03794152970765536,0.14760941557257845,전국민 공공AI,0.98,0.72,0.0,0.0,0.0,0.0,0.1,0.82,0.2902529693882755,0.2625250275150641,0.12827676623833895,0.9829376643352773,0.36777777777777776,0.31235750375745475,2.6246000976742723,0.9750273307639507,0.8847415266028491,0.6626895825478927,0.39602206058469486,1.1275799775276192,0.0,0.0,0.0,0.0,0.0,0.37793546843730697,0.3636575785010355,0.21074751876813136,0.9923004462091802,0.28555555555555556,0.24790435639380512,3.6351167687059203,0.9679089324410446,0.8770899932567459,0.6672890069634524,0.41066933065473316,1.257266172493235,-0.17115352461204536,-0.07696393252782317,-0.021976689869777022,0.08467025466761831,0.23282502310650305,0.08768249904903147,0.1011325509859714,0.08247075252979241,0.009362781873902937,-0.0822222222222222,-0.06445314736364963,1.010516671031648,-0.007118398322906061,-0.007651533346103245,0.004599424415559716,0.014647270070038299,0.12968619496561584,-0.17115352461204536,-0.07696393252782317,-0.021976689869777022,0.08467025466761831,0.23282502310650305,0.021337343999999998,0.10834885096561585,-0.011974562126097061,3.76193196621641,0.04941655849785993,-0.07090685459385297
0,1,공공AI+공교육,0.7420719597572102,0.047006140475907524,0.03794152970765536,0.14760941557257845,공공AI+공교육,0.98,0.82,0.065,0.0,0.0,0.0,0.25,0.86,0.2902529693882755,0.2625250275150641,0.12827676623833895,0.9829376643352773,0.36777777777777776,0.31235750375745475,2.6246000976742723,0.9750273307639507,0.8847415266028491,0.6626895825478927,0.39602206058469486,1.1275799775276192,0.0,0.0,0.0,0.0,0.0,0.369087873131138,0.35506617599509843,0.20101345958183447,1.0447378814467854,0.2966666666666667,0.2776895361780905,3.687734931676796,0.978351817346568,0.9003894088464933,0.23054485510802414,0.40678844892095845,1.3075788246695632,-0.09275419904693884,-0.013710349031443582,0.029744742069785342,0.12560970487471906,0.2559880878601962,0.0788349037428625,0.09254114848003431,0.07273669334349553,0.06180021711150807,-0.07111111111111107,-0.034667967579364245,1.0631348340025237,0.003324486582617303,0.015647882243644218,-0.43214472743986854,0.010766388336263588,0.17999884714194403,-0.09275419904693884,-0.013710349031443582,0.029744742069785342,0.12560970487471906,0.2559880878601962,0.037035983999999994,0.14296286314194404,0.024764233111508077,3.76193196621641,0.040671995032064534,-0.07752663499837142
0,1,공공AI+돌봄,0.7420719597572102,0.047006140475907524,0.03794152970765536,0.14760941557257845,공공AI+돌봄,0.98,0.78,0.0,0.075,0.0,0.0,0.1,0.88,0.2902529693882755,0.2625250275150641,0.12827676623833895,0.9829376643352773,0.36777777777777776,0.31235750375745475,2.6246000976742723,0.9750273307639507,0.8847415266028491,0.6626895825478927,0.39602206058469486,1.1275799775276192,0.0,0.0,0.0,0.0,0.0,0.3759507644547285,0.36190662165664883,0.20875373259184882,1.0013746769248393,0.2922222222222222,0.2507953386919957,3.6430253045850245,0.9738538945093363,0.9041814136417835,0.6645030959280769,0.4101511802427512,1.2655663832765949,-0.16003787549031254,-0.06535235232372531,-0.012345263899621798,0.09341650635006118,0.2372355226877733,0.08569779506645303,0.0993815941415847,0.08047696635350987,0.018437012589561985,-0.07555555555555554,-0.06156216506545903,1.0184252069107522,-0.0011734362546143018,0.0194398870389344,0.0018135133801842063,0.014129119658056355,0.1379864057489757,-0.16003787549031254,-0.06535235232372531,-0.012345263899621798,0.09341650635006118,0.2372355226877733,0.034041744,0.1039446617489757,-0.015604731410438014,3.76193196621641,0.009923680809620028,-0.10962571234979368
